nome,cpf,idade,data,endereco,estado
vitor hugo da conceição,716.***.***-55,25.0,1998-04-30,"viaduto de castro, 65",RR
ana laura caldeira,518.***.***-73,51.0,1972-10-28,"estrada de rocha, 305",PE
 laura silveira,472.***.***-49,95.0,1928-12-23,"pátio lopes, 1",AM
 rafael pereira,492.***.***-79,86.0,1937-06-21,"recanto gustavo pereira, 77",PE
manuela mendes,518.***.***-60,32.0,1992-02-25,"largo kevin barbosa, 2",MG
igor lopes,073.***.***-22,29.0,1994-11-19,recanto azevedo,CE
marcelo moreira,346.***.***-87,49.0,1974-10-05,"trecho igor barros, 77",ES
thomas costela,428.***.***-22,94.0,1930-03-08,alameda de pinto,RS
luiz otávio gonçalves,637.***.***-90,63.0,1960-10-10,"trevo rezende, 51",MG
stella da cos,063.***.***-07,54.0,1969-12-25,"estação de freitas, 32",RR
luana da cruz,083.***.***-86,29.0,1994-10-12,distrito rocha,CE
maria cecília lima,132.***.***-89,28.0,1996-12-02,"recanto silveira, 47",ES
melissa teixeira,642.***.***-78,71.0,1953-11-03,"residencial de pires, 28",RS
 vinicius pires,163.***.***-10,38.0,1986-02-05,"distrito de lopes, 397",MS
luiz miguel farias,962.***.***-00,88.0,1936-11-03,"feira cardoso, 21",RN
breno correia,148.***.***-67,40.0,1983-05-07,"conjunto daniel fernandes, 403",GO
laís costela,306.***.***-53,58.0,1966-01-18,"parque maitê santos, 42",RS
 diego da ma,293.***.***-41,20.0,2003-08-22,"quadra de da mota, 62",MG
letícia da mo,852.***.***-02,30.0,1993-05-24,"viaduto jesus, 11",DF
luna ferreira,843.***.***-14,54.0,1970-01-25,"alameda anthony fogaça, 11",RS
 emanuel silveira,430.***.***-80,29.0,1994-04-23,"quadra de fogaça, 28",PI
lorena sales,263.***.***-15,44.0,1979-12-26,fazenda caldeira,AM
davi da ma,846.***.***-39,55.0,1969-02-19,vila alves,DF
isabel melo,748.***.***-09,75.0,1948-12-28,"feira enrico nogueira, 1",PB
raul oliveira,298.***.***-64,93.0,1931-01-03,"rua pedro miguel da luz, 95",PA
levi da ma,192.***.***-32,61.0,1962-10-21,vila de da mata,CE
heloísa castro,587.***.***-44,62.0,1961-05-15,"sítio de cardoso, 88",RS
 júlia da paz,046.***.***-74,37.0,1986-08-19,"jardim maria sophia ferreira, 95",CE
luana viana,213.***.***-21,26.0,1998-04-01,"praça de castro, 980",SE
 renan sales,364.***.***-83,22.0,2001-04-17,"praça olivia silveira, 49",AC
caio aragão,714.***.***-62,22.0,2001-11-19,"área de barros, 86",RN
 lavínia ribeiro,263.***.***-51,75.0,1948-11-19,"alameda gustavo henrique gonçalves, 50",RJ
sofia da ma,806.***.***-84,21.0,2002-05-16,"jardim de lopes, 7",AM
ané araújo,819.***.***-13,43.0,1980-04-26,"alameda de da mota, 94",CE
nathan azevedo,285.***.***-82,85.0,1939-02-12,"lagoa milena ramos, 4",AM
camila teixeira,982.***.***-40,46.0,1977-08-13,"setor da cunha, 39",RJ
 clara souza,510.***.***-71,25.0,1998-08-20,"área peixoto, 32",SE
yuri nascimento,129.***.***-73,57.0,1966-09-28,"vereda matheus azevedo, 2",AC
 marcela gonçalves,148.***.***-87,84.0,1940-11-03,"praia raul campos, 12",CE
joão ramos,936.***.***-87,50.0,1973-08-28,"jardim enzo da paz, 47",PR
renan rocha,720.***.***-92,42.0,1981-10-08,"vale oliveira, 22",RS
 caio souza,453.***.***-33,51.0,1973-07-02,"conjunto maria vitória da cunha, 59",MG
clarice farias,743.***.***-22,55.0,1968-12-22,"alameda maria fernanda castro, 87",PI
marcos vinicius jesus,597.***.***-00,72.0,1951-10-12,"praça de moraes, 588",PA
joão peo nunes,910.***.***-42,34.0,1989-09-16,"jardim de ramos, 69",PA
levi farias,659.***.***-52,46.0,1978-12-03,"quadra mendes, 42",GO
 enzo da cos,791.***.***-75,40.0,1983-05-07,"campo marcela silveira, 66",AM
heloísa alves,029.***.***-79,86.0,1937-10-06,"fazenda de moraes, 637",PR
luiz henrique da mo,842.***.***-91,20.0,2004-02-17,"recanto alves, 105",RR
camila caldeira,903.***.***-03,54.0,1969-04-23,"lago jesus, 71",MA
arthur mendes,918.***.***-05,50.0,1973-12-23,esplanada cauã teixeira,SP
joão felipe campos,362.***.***-06,54.0,1970-03-28,"praia heitor castro, 6",MS
guilherme azevedo,174.***.***-16,61.0,1962-07-24,"viela benjamin campos, 1",CE
 laura cunha,364.***.***-50,46.0,1977-12-22,"núcleo castro, 7",BA
noah moraes,108.***.***-12,55.0,1969-04-03,"estrada lucas gabriel caldeira, 856",MG
davi lucca lopes,260.***.***-90,33.0,1990-11-27,"trecho freitas, 427",AP
sophia da cruz,621.***.***-15,39.0,1984-07-30,via ribeiro,PR
igor da luz,740.***.***-85,46.0,1977-12-16,"lago silva, 75",AC
 samuel nascimento,692.***.***-73,86.0,1937-07-30,"travessa duarte, 59",RO
maria fernanda freis,968.***.***-28,66.0,1957-08-10,favela sarah porto,DF
eduarda cos,206.***.***-68,28.0,1995-10-31,"morro enzo gabriel teixeira, 84",RS
lorenzo monteiro,069.***.***-20,43.0,1980-07-16,"área da mota, 13",AP
caroline cardoso,618.***.***-17,51.0,1972-09-08,"viaduto de moreira, 1",DF
henrique da rocha,329.***.***-99,21.0,2003-01-09,"núcleo luiz gustavo costela, 99",SE
lucas gabriel oliveira,743.***.***-38,52.0,1972-08-04,via araújo,SE
 arthur jesus,418.***.***-93,96.0,1927-05-27,lago de cardoso,MG
marcos vinicius da cunha,572.***.***-43,48.0,1976-01-16,viaduto de cardoso,PA
antônio nogueira,061.***.***-71,19.0,2004-08-11,"quadra de da mata, 49",MT
sophia monteiro,601.***.***-15,90.0,1933-10-22,"núcleo araújo, 155",PA
 leano silva,497.***.***-85,56.0,1967-12-07,"estação silva, 18",AM
amanda farias,185.***.***-08,99.0,1924-07-31,"praia lavínia moraes, 29",RJ
 luna peixoto,912.***.***-23,53.0,1970-12-14,"fazenda rafaela costela, 37",CE
 igor campos,183.***.***-62,54.0,1969-08-17,"fazenda ferreira, 849",AP
maria sophia correia,948.***.***-75,99.0,1925-10-03,"residencial alana dias, 51",TO
bruno da cruz,293.***.***-73,23.0,2001-06-02,"rua evelyn da cunha, 2",ES
amanda cavalcanti,351.***.***-00,55.0,1968-12-13,"fazenda de duarte, 99",AC
bruno melo,721.***.***-52,58.0,1965-06-26,"trevo de da costa, 7",AC
 elisa nunes,875.***.***-05,35.0,1989-01-12,"vale erick moreira, 48",AP
calebe ramos,942.***.***-40,59.0,1964-05-05,"parque de moraes, 36",TO
 arthur moraes,306.***.***-87,81.0,1943-10-01,"passarela lima, 87",RJ
júlia silveira,913.***.***-57,73.0,1950-11-18,pátio vitor gabriel rocha,SC
 isabelly silva,732.***.***-00,34.0,1989-08-28,"rodovia agatha lopes, 7",DF
 otávio azevedo,457.***.***-30,79.0,1944-11-09,"aeroporto de ferreira, 2",CE
maria cecília aragão,264.***.***-49,99.0,1925-01-09,"trevo aragão, 535",GO
noah da rosa,742.***.***-22,59.0,1965-05-02,"avenida ferreira, 7",DF
 laura azevedo,540.***.***-71,37.0,1986-06-16,viaduto marcelo ramos,SP
 francisco moreira,702.***.***-08,24.0,1999-08-25,"núcleo silva, 7",CE
mariane das neves,912.***.***-05,44.0,1979-10-27,"rodovia de freitas, 782",SC
enzo monteiro,309.***.***-56,33.0,1990-09-15,"quadra silveira, 76",MG
diego da rocha,093.***.***-83,36.0,1988-01-24,"conjunto da rosa, 22",MS
ana laura da cruz,798.***.***-49,86.0,1937-04-28,parque rodrigues,RO
ana sophia gomes,384.***.***-46,44.0,1979-07-27,"lagoa porto, 44",GO
ana laura cos,502.***.***-85,52.0,1971-08-17,"vila sales, 913",SP
felipe souza,187.***.***-84,55.0,1968-09-30,"setor peixoto, 47",SE
luana novaes,287.***.***-87,78.0,1945-12-05,"parque luiz gustavo da conceição, 34",RS
 yasmin nogueira,360.***.***-15,48.0,1975-10-29,"lago de rocha, 482",PE
benício melo,904.***.***-67,21.0,2002-12-07,recanto maitê pereira,DF
daniela aragão,726.***.***-53,58.0,1965-07-06,"feira otávio pereira, 93",RR
davi luiz sales,740.***.***-13,44.0,1979-07-24,"trecho joão gabriel pires, 64",RS
milena souza,904.***.***-70,85.0,1938-10-08,"praça de ribeiro, 9",SP
maria eduarda ferreira,438.***.***-60,74.0,1949-09-28,passarela de caldeira,AP
 diogo lima,302.***.***-00,29.0,1994-12-06,estrada danilo monteiro,BA
 carlos eduardo araújo,496.***.***-47,39.0,1984-11-09,"rodovia sophia rodrigues, 88",RR
marina gomes,934.***.***-00,98.0,1925-12-25,lagoa souza,ES
gusvo henrique duarte,254.***.***-60,23.0,2000-05-29,"área ana sophia pereira, 32",TO
caio ramos,832.***.***-73,27.0,1996-11-06,"viaduto de sales, 92",AL
rafael nunes,462.***.***-19,88.0,1935-04-10,"núcleo monteiro, 504",TO
enzo gabriel cardoso,726.***.***-67,37.0,1987-01-26,núcleo ribeiro,PE
davi cardoso,065.***.***-90,18.0,2005-07-25,"praça ana júlia rezende, 38",PA
daniel pires,274.***.***-47,39.0,1984-06-13,"avenida bruna rodrigues, 724",ES
brenda da ma,532.***.***-19,44.0,1980-02-29,"pátio rocha, 75",AC
samuel dias,852.***.***-24,38.0,1985-11-17,"viaduto enzo gabriel moreira, 72",CE
gusvo henrique da cos,917.***.***-50,19.0,2005-03-08,"residencial ribeiro, 60",RO
theo fogaça,091.***.***-05,48.0,1975-06-26,"travessa cardoso, 95",MT
 alexia carvalho,483.***.***-71,24.0,2000-03-31,quadra lorenzo pires,AC
juliana martins,432.***.***-56,85.0,1939-06-04,campo de souza,RR
luiz gusvo da rosa,280.***.***-97,85.0,1938-06-09,"via de da paz, 5",AL
gabriela freis,367.***.***-26,30.0,1994-03-10,"trevo carvalho, 9",BA
enzo gabriel vieira,812.***.***-76,22.0,2002-01-28,travessa novaes,TO
 luna nascimento,815.***.***-60,69.0,1954-06-13,"passarela de nascimento, 916",AL
sophie da ma,971.***.***-97,70.0,1953-04-10,"avenida de almeida, 78",AL
clarice alves,973.***.***-65,23.0,2001-12-02,avenida heloísa costa,AC
carina roigues,138.***.***-84,84.0,1939-11-26,"núcleo farias, 97",RR
antônio vieira,017.***.***-53,89.0,1934-10-25,"favela de lopes, 473",PR
 nicolas da conceição,105.***.***-80,26.0,1998-06-04,"quadra mariana costela, 87",BA
maria alice da cos,290.***.***-92,88.0,1936-02-17,"rua cardoso, 76",MA
 lucca martins,906.***.***-70,56.0,1967-08-30,"pátio paulo da rosa, 93",TO
maitê gonçalves,034.***.***-20,97.0,1926-09-20,"distrito giovanna rodrigues, 37",PR
ana laura ferreira,326.***.***-74,72.0,1952-01-29,estrada de ramos,RO
sabrina da ma,172.***.***-02,30.0,1994-01-31,"viela de moraes, 56",MS
alexane das neves,183.***.***-24,93.0,1930-07-19,"área de novaes, 52",ES
isadora da cunha,471.***.***-31,54.0,1969-08-31,"viaduto freitas, 622",PE
 luigi fernandes,834.***.***-55,72.0,1951-07-16,"distrito thomas pires, 77",MT
 yago cavalcanti,758.***.***-05,93.0,1931-03-01,estrada melo,AM
carolina peixoto,396.***.***-96,63.0,1960-06-26,"loteamento dias, 21",RN
ana lívia porto,067.***.***-44,74.0,1949-09-26,"colônia vieira, 6",SE
henrique da ma,896.***.***-74,33.0,1990-12-25,"aeroporto vinicius rezende, 18",PR
enrico aragão,490.***.***-75,93.0,1930-06-30,"praça almeida, 95",AP
milena cavalcanti,523.***.***-70,25.0,1998-09-15,"trecho kevin castro, 70",PR
davi lucca melo,731.***.***-14,96.0,1928-02-22,"passarela kamilly moreira, 704",SP
clarice fernandes,192.***.***-73,87.0,1936-12-27,"vereda jesus, 7",SP
 luiz fernando das neves,146.***.***-37,58.0,1966-02-21,"viaduto de martins, 24",RO
caio azevedo,428.***.***-82,73.0,1951-03-04,"largo cardoso, 23",AL
enrico novaes,457.***.***-38,73.0,1950-11-08,"vila heloísa barbosa, 666",RN
ana clara moreira,075.***.***-53,87.0,1936-12-15,residencial de aragão,SC
enrico ribeiro,965.***.***-66,26.0,1998-02-24,"loteamento lopes, 2",CE
evelyn aragão,548.***.***-07,85.0,1938-04-19,"estrada rebeca caldeira, 440",GO
thales moreira,406.***.***-07,63.0,1960-07-31,quadra farias,RO
heitor mendes,097.***.***-61,56.0,1968-01-13,lagoa de farias,AL
sarah nascimento,938.***.***-10,40.0,1983-05-14,"largo de da costa, 400",CE
 yasmin melo,510.***.***-49,18.0,2005-07-22,"loteamento almeida, 821",TO
 marcelo costela,895.***.***-38,23.0,2000-08-16,"chácara clarice da costa, 135",BA
maria cecília araújo,752.***.***-52,76.0,1948-03-20,"distrito nathan melo, 3",PA
enzo gabriel ribeiro,965.***.***-02,63.0,1960-06-20,"recanto nunes, 87",AP
miguel da rosa,168.***.***-03,43.0,1980-04-24,"esplanada carvalho, 8",CE
maria vitória ferreira,914.***.***-69,23.0,2000-11-09,"lago lima, 6",SP
 vitor gabriel gomes,348.***.***-60,48.0,1975-11-29,"vale costela, 49",MT
bianca pinto,541.***.***-06,80.0,1943-05-29,"lagoa sales, 43",AL
igor melo,519.***.***-39,97.0,1927-03-31,viaduto nogueira,RO
 vitória carvalho,528.***.***-38,35.0,1989-02-20,"jardim fernanda moura, 767",AM
sofia duarte,412.***.***-28,18.0,2005-07-09,"morro isaac freitas, 543",RR
brenda nogueira,160.***.***-33,56.0,1967-07-23,"pátio de almeida, 4",TO
rafael fogaça,569.***.***-68,93.0,1931-03-04,"setor de da rosa, 401",SP
ana nascimento,295.***.***-61,72.0,1951-11-22,"chácara de martins, 14",RN
 juan da rocha,475.***.***-80,75.0,1949-10-02,"ladeira de da mota, 16",MT
ana laura rocha,531.***.***-70,32.0,1992-01-11,"sítio thomas rodrigues, 41",AL
maria alice da rocha,906.***.***-22,90.0,1933-12-22,"travessa de correia, 46",AC
elisa lopes,790.***.***-30,100.0,1924-07-02,passarela alexandre da cunha,RR
davi lucca pereira,597.***.***-60,70.0,1954-01-28,"jardim de barros, 16",CE
marina fogaça,410.***.***-20,61.0,1962-04-07,"praça luiz henrique correia, 81",PE
bernardo ramos,105.***.***-98,81.0,1943-09-03,"lagoa luiza gonçalves, 979",SE
ana lívia lopes,971.***.***-02,63.0,1960-11-10,"parque de barbosa, 57",GO
miguel silva,920.***.***-00,40.0,1984-02-28,"ladeira das neves, 9",PE
 arthur da cruz,693.***.***-38,83.0,1940-06-24,lago de cavalcanti,TO
julia da mo,571.***.***-20,75.0,1948-09-30,"feira nogueira, 68",TO
agatha rocha,853.***.***-30,53.0,1971-11-01,setor de dias,RS
isabel cardoso,608.***.***-40,95.0,1928-08-11,"campo da mata, 42",MG
marcos vinicius moura,451.***.***-19,64.0,1959-11-29,"parque dias, 687",PR
levi da cunha,718.***.***-75,98.0,1925-04-28,"colônia de viana, 6",SE
cauã vieira,427.***.***-61,76.0,1947-07-29,via da mata,RO
 isabelly souza,725.***.***-30,33.0,1990-05-23,"campo de moura, 60",RN
heitor rezende,174.***.***-39,72.0,1951-09-28,"área duarte, 628",RR
maria vitória jesus,493.***.***-70,47.0,1977-02-16,"sítio de moura, 13",RS
emanuel duarte,762.***.***-76,21.0,2003-02-23,"rua de fogaça, 71",AM
ian lima,163.***.***-66,86.0,1937-07-05,"rua de martins, 9",AC
vitor alves,687.***.***-22,27.0,1996-06-13,"esplanada ana laura oliveira, 667",DF
rafael ramos,946.***.***-84,69.0,1954-05-17,"esplanada almeida, 4",PR
ryan da cunha,412.***.***-52,87.0,1937-11-04,morro de cardoso,GO
maria da cunha,539.***.***-06,77.0,1946-10-07,residencial de duarte,PE
 milena cardoso,832.***.***-40,66.0,1958-03-07,"praça almeida, 71",RJ
bryan ramos,043.***.***-89,30.0,1993-10-30,"praia costa, 35",GO
luigi santos,273.***.***-52,37.0,1987-01-04,"via luigi peixoto, 61",AP
isabella duarte,023.***.***-17,43.0,1980-09-28,"estrada diogo da mata, 91",PI
sophie azevedo,214.***.***-49,97.0,1926-08-11,"rua kaique freitas, 8",RR
matheus carvalho,592.***.***-09,60.0,1963-08-31,viela de almeida,RN
júlia da cruz,714.***.***-39,94.0,1930-02-12,lagoa joão pedro alves,PB
vitor peixoto,489.***.***-06,76.0,1947-07-24,"trevo de cardoso, 40",RS
amanda castro,305.***.***-41,43.0,1980-04-05,"favela erick pereira, 672",AM
lucas lima,240.***.***-01,91.0,1932-06-16,"vale igor castro, 928",BA
raquel ramos,052.***.***-25,66.0,1957-10-16,"vereda de costa, 27",RN
 rebeca nascimento,431.***.***-37,82.0,1941-04-07,"residencial nogueira, 954",PB
theo da conceição,846.***.***-46,29.0,1995-03-22,"fazenda maria ribeiro, 81",SE
thiago da cunha,631.***.***-24,90.0,1933-06-08,"viela de aragão, 291",RJ
davi lucas moreira,169.***.***-02,59.0,1964-12-30,"estrada de da costa, 92",PA
helena costela,950.***.***-68,28.0,1996-02-01,"colônia de fogaça, 78",AC
beatriz peixoto,243.***.***-96,80.0,1943-04-11,"campo de moura, 904",PE
luigi fernandes,846.***.***-20,48.0,1976-02-02,"estação igor cunha, 21",PB
gabrielly almeida,831.***.***-14,66.0,1958-01-11,"estrada da conceição, 23",MS
samuel sales,439.***.***-55,75.0,1948-08-19,"morro de costela, 73",MG
 otávio cos,095.***.***-59,36.0,1987-08-09,"chácara da conceição, 2",BA
 ana beatriz da ma,429.***.***-67,91.0,1933-01-28,"feira de martins, 79",PA
joão roigues,594.***.***-76,25.0,1999-02-19,"colônia duarte, 56",PE
nathan farias,521.***.***-32,39.0,1985-01-12,"travessa joana gonçalves, 44",AL
 rafael pereira,581.***.***-55,56.0,1967-07-15,"sítio isis campos, 81",AC
júlia pereira,871.***.***-12,29.0,1995-02-08,lagoa santos,MT
 laura barbosa,031.***.***-04,67.0,1956-12-23,"ladeira de moura, 84",RR
juliana pinto,385.***.***-93,70.0,1953-12-18,"rodovia sales, 21",PI
joana monteiro,138.***.***-39,55.0,1968-09-29,"parque de costela, 668",TO
 yago da rocha,698.***.***-28,75.0,1948-06-15,"fazenda cavalcanti, 859",MT
miguel nogueira,869.***.***-22,56.0,1967-07-12,quadra de ferreira,PI
isadora da rocha,725.***.***-70,95.0,1929-02-20,"via igor da mata, 81",ES
clara costela,380.***.***-50,81.0,1942-07-13,"trevo joão pedro araújo, 7",DF
 enzo gabriel rocha,473.***.***-61,62.0,1962-04-03,"condomínio da cunha, 4",PA
maysa monteiro,615.***.***-44,94.0,1929-10-27,"parque henrique teixeira, 32",RR
maria alice da rosa,710.***.***-66,29.0,1994-05-09,"vereda silveira, 8",RR
maysa lopes,196.***.***-76,60.0,1963-05-30,"avenida de araújo, 28",RS
 yasmin jesus,586.***.***-44,91.0,1932-05-28,"fazenda letícia costela, 6",AM
mariana costela,372.***.***-00,38.0,1985-11-09,"campo peixoto, 75",SC
clara almeida,842.***.***-92,35.0,1988-11-23,"parque eloah costa, 91",RS
sofia aragão,687.***.***-08,35.0,1988-08-13,"rua de santos, 955",RS
elisa barros,546.***.***-20,27.0,1997-01-19,"estrada sales, 13",RN
joana silva,349.***.***-57,24.0,1999-09-19,chácara miguel fogaça,PE
lorenzo porto,812.***.***-13,63.0,1960-05-14,"avenida de araújo, 1",GO
vitória barbosa,583.***.***-77,47.0,1976-10-19,"vale de monteiro, 267",ES
alícia da rosa,035.***.***-51,83.0,1940-04-05,"trecho luana barros, 338",MG
lucas monteiro,739.***.***-75,97.0,1926-12-11,"parque enzo almeida, 62",AC
roigo caldeira,816.***.***-37,47.0,1976-12-22,condomínio joana lima,MT
luna rezende,456.***.***-57,51.0,1972-05-21,"esplanada matheus da costa, 90",RN
diogo rezende,680.***.***-24,81.0,1943-12-01,"residencial novaes, 84",PI
anthony da cos,805.***.***-21,65.0,1959-01-09,"praia ian da mota, 383",RO
 maria julia novaes,019.***.***-01,42.0,1981-04-27,"ladeira da cruz, 635",BA
joão peo peixoto,243.***.***-55,64.0,1960-02-10,"trecho cavalcanti, 3",PR
alana fernandes,198.***.***-09,47.0,1976-08-29,"estação rocha, 975",SC
 mirella rezende,247.***.***-50,50.0,1973-08-29,"vale de cavalcanti, 98",ES
gabrielly moreira,608.***.***-62,52.0,1971-09-18,"lago caldeira, 363",AM
 sofia souza,605.***.***-48,90.0,1933-06-14,"vila gomes, 366",PB
mariane melo,735.***.***-77,74.0,1949-12-16,"rodovia ana beatriz cardoso, 97",PR
lorena souza,048.***.***-49,36.0,1987-06-15,"vereda sales, 83",AL
fernando da ma,280.***.***-08,27.0,1996-06-30,"ladeira clara da cruz, 37",PB
laura cardoso,821.***.***-17,29.0,1994-04-26,"setor de costa, 1",ES
marina da cruz,724.***.***-26,51.0,1972-06-21,"avenida castro, 718",PE
maria rocha,163.***.***-03,40.0,1984-11-02,"recanto isabel da conceição, 6",RS
 davi luiz nunes,604.***.***-16,88.0,1935-08-19,"setor de barros, 58",SP
vitor gabriel costela,175.***.***-43,56.0,1967-04-15,"praia pietra caldeira, 60",GO
 luigi barbosa,641.***.***-39,99.0,1924-11-24,"quadra yasmin caldeira, 4",PE
roigo azevedo,687.***.***-75,22.0,2001-12-06,praia de nogueira,ES
peo henrique cardoso,324.***.***-04,50.0,1973-05-31,"rua de castro, 65",PA
 joão cardoso,032.***.***-74,19.0,2005-03-03,"pátio antônio da mota, 79",PR
maria julia nunes,381.***.***-35,76.0,1947-10-09,setor de ferreira,RN
fernanda duarte,453.***.***-15,23.0,2000-10-31,"vereda da rocha, 6",MA
marcos vinicius oliveira,280.***.***-95,81.0,1943-03-02,"parque de azevedo, 8",AL
leano aragão,124.***.***-32,99.0,1924-10-17,"campo gabriela rodrigues, 9",AC
maria alice vieira,832.***.***-44,69.0,1955-05-04,"via nogueira, 82",SE
ana luiza jesus,541.***.***-91,65.0,1958-06-14,endereço inválido,DESCONHECIDO
guilherme cardoso,197.***.***-21,72.0,1952-03-27,"trevo nicole da cruz, 7",RS
luiz felipe azevedo,439.***.***-52,49.0,1975-03-19,"campo erick fernandes, 464",AC
nathan araújo,813.***.***-89,60.0,1963-06-14,quadra de martins,AM
clara ferreira,467.***.***-28,79.0,1945-01-22,"fazenda de ferreira, 76",MS
felipe da ma,634.***.***-69,86.0,1938-12-02,"estrada gabrielly rocha, 634",PA
enzo gabriel azevedo,789.***.***-48,67.0,1956-04-27,"estação cardoso, 175",SC
maitê barbosa,231.***.***-07,20.0,2003-05-18,"estrada duarte, 37",MS
 isis da cruz,073.***.***-78,89.0,1934-08-30,"praia moreira, 20",TO
otávio da ma,835.***.***-29,51.0,1972-05-06,"largo de da cruz, 431",TO
sophie castro,165.***.***-09,40.0,1983-05-27,"trevo de moraes, 78",TO
diogo da cunha,263.***.***-60,33.0,1990-05-29,"distrito kaique costa, 17",RJ
benício fernandes,389.***.***-77,30.0,1993-09-13,"condomínio da cunha, 964",ES
joão peo silva,523.***.***-06,45.0,1978-12-25,"praia de almeida, 38",MG
heloísa cunha,260.***.***-83,20.0,2003-11-15,"aeroporto santos, 94",PI
bruno novaes,190.***.***-93,72.0,1951-04-05,"alameda de da mata, 18",MS
levi cavalcanti,291.***.***-55,80.0,1944-03-25,"aeroporto aragão, 8",DF
joão peo lopes,407.***.***-96,53.0,1970-04-15,"vereda daniel gonçalves, 6",PB
heloísa da luz,569.***.***-57,61.0,1963-01-03,"conjunto de cunha, 63",SP
lorena gomes,298.***.***-65,20.0,2004-03-18,"rodovia de cavalcanti, 47",AP
milena vieira,623.***.***-51,97.0,1927-01-05,"loteamento thiago fernandes, 51",PB
milena ramos,160.***.***-34,46.0,1977-09-06,praça breno ribeiro,PB
vitor hugo ramos,286.***.***-78,73.0,1951-02-14,"viela alice nogueira, 65",MA
ana julia nascimento,197.***.***-31,64.0,1960-10-04,aeroporto cavalcanti,SE
 enrico carvalho,254.***.***-00,54.0,1969-04-10,travessa de santos,MT
vitor hugo cunha,701.***.***-39,91.0,1933-02-02,"passarela isis porto, 38",PA
 samuel moura,402.***.***-05,22.0,2001-11-24,"parque daniel pinto, 7",MT
luana nascimento,314.***.***-50,30.0,1993-12-13,"vila letícia da paz, 17",CE
 maria vitória viana,250.***.***-00,98.0,1926-03-20,colônia de moura,PR
 calebe duarte,936.***.***-04,60.0,1963-05-07,"alameda joão pedro castro, 14",AM
leonardo costela,624.***.***-29,31.0,1992-11-16,via de jesus,MG
benício moreira,136.***.***-24,44.0,1980-01-21,"feira marcos vinicius da cruz, 317",MA
lucca mendes,819.***.***-76,83.0,1940-10-16,"via de ferreira, 44",MG
sophie farias,741.***.***-00,87.0,1936-05-09,"aeroporto de ribeiro, 65",AM
bruna da rocha,845.***.***-19,62.0,1961-06-10,"loteamento otávio freitas, 74",TO
heitor nascimento,493.***.***-84,81.0,1942-06-30,área maria fernanda pinto,MT
rafael porto,629.***.***-30,27.0,1996-04-24,"alameda da mata, 64",MG
luiz miguel da paz,647.***.***-80,30.0,1993-06-20,"estrada de ribeiro, 73",MG
 pietra duarte,913.***.***-04,96.0,1928-07-02,"aeroporto de nascimento, 13",PR
eloah cunha,908.***.***-60,22.0,2001-10-13,"chácara de costa, 62",PI
bruna roigues,625.***.***-67,21.0,2002-04-06,"campo da costa, 719",GO
felipe monteiro,172.***.***-68,97.0,1926-12-21,"quadra de monteiro, 43",CE
isis campos,178.***.***-41,38.0,1986-01-03,estrada pereira,PE
vitor novaes,586.***.***-08,77.0,1946-07-07,"lagoa de da rocha, 60",PI
yago porto,907.***.***-01,42.0,1981-07-29,"parque alícia cavalcanti, 234",CE
guilherme campos,354.***.***-79,55.0,1968-11-20,"largo de duarte, 24",BA
vitor moraes,297.***.***-99,26.0,1998-04-02,"campo enrico lima, 20",TO
joão gabriel jesus,790.***.***-01,98.0,1925-06-10,"favela martins, 7",ES
 vitor hugo rezende,796.***.***-58,28.0,1995-06-07,"ladeira barros, 84",AP
 arthur carvalho,081.***.***-97,38.0,1985-12-10,"jardim silveira, 35",RR
ryan mendes,239.***.***-55,45.0,1978-04-27,"viaduto evelyn ribeiro, 56",MG
ana laura silva,485.***.***-47,77.0,1946-04-24,"campo de farias, 77",AM
lorenzo novaes,370.***.***-05,44.0,1979-08-31,"loteamento alice freitas, 3",AL
cauê cardoso,019.***.***-60,18.0,2005-08-09,"trecho alícia monteiro, 61",AL
 ana luiza silveira,324.***.***-40,82.0,1941-05-07,"alameda pinto, 59",MT
lavínia azevedo,318.***.***-03,75.0,1948-10-17,"condomínio larissa teixeira, 216",BA
bruna ribeiro,352.***.***-10,71.0,1952-09-11,trevo beatriz cardoso,AP
theo da ma,758.***.***-44,66.0,1958-08-04,"feira souza, 65",AL
joão gabriel porto,956.***.***-91,51.0,1972-08-14,"fazenda luiza campos, 62",GO
maria julia freis,178.***.***-53,73.0,1950-08-31,"loteamento de gomes, 86",RS
 otávio barros,683.***.***-21,26.0,1997-04-16,"condomínio marina costela, 29",RR
yasmin gomes,827.***.***-35,99.0,1924-06-28,"feira letícia nascimento, 5",MA
sofia novaes,576.***.***-83,44.0,1979-07-31,"aeroporto de ribeiro, 57",MT
ian da luz,152.***.***-77,35.0,1988-10-26,"feira moura, 2",PB
davi luiz souza,857.***.***-53,77.0,1947-10-04,"favela peixoto, 76",PE
cecília araújo,032.***.***-26,20.0,2004-08-02,"distrito rezende, 61",MT
luiz gusvo duarte,381.***.***-44,60.0,1964-10-03,"favela caldeira, 98",DF
ana julia cardoso,704.***.***-88,27.0,1996-10-19,"chácara campos, 423",MG
gabrielly lima,560.***.***-30,98.0,1925-06-30,"parque alves, 70",RN
heloísa ribeiro,437.***.***-37,63.0,1960-12-19,sítio luiz gustavo cunha,RJ
letícia cos,530.***.***-70,43.0,1980-05-19,"viela yago oliveira, 70",RN
